我家熊孩子不熊 || 点赞16 || 评论804
王云（笨笨） || 点赞24 || 评论951
一个人逛街，偶遇高中时候的死对头，她老远看见我，挎着她男朋友走过来，说：哟，一个人逛街啊，就你这破脾气，肯定还单身吧？我看了一眼她男朋友，说：哟，好久不见，前任，你还好吗？没等他说话，我冲他脸颊亲了一口，然后我就潇洒的走了……其实我根本不认识她男朋友。然后他俩就吵起来了，吵着吵着就打起来了，打的可刺激了！
匿名用户 || 点赞19 || 评论1188
还是匿了吧，太伤心。想起去年愚人节，那会儿还有女朋友，就想跟女朋友开个玩笑，我打电话说咱们分手吧，她说好！what？？？劳资还没反应过来，她就挂了电话，拉黑我，微信删除，QQ删除，啥都删除了。。。我隔段时间就打电话，发微信，一直到今年愚人节过了一天了，还是杳无音讯，哎，不能作啊[大哭]
浅浅一笑恰逢你来 || 点赞29 || 评论1536
出去玩看路边有几个人做促销活动——扫二维码送个小扇子，闺蜜过去就领了一把小兔的扇子特别可爱，也让我去领一把……“妹子，别开玩笑了，你扫了我也不给你，不如你加我微信怎么样？”“为什么不给我？我闺蜜刚才领一把呢……”我有点生气的说。“我们这是整容美体店做活动，你那么漂亮跟模特似的，也用不上呀……”闺蜜站在旁边，脸色由晴转阴……
约么?不约 || 点赞0 || 评论310
一个朋友是导游的，一天带团住酒店，一位阿姨洗澡摔倒了。投诉她。然后实在没办法了，说，大姐对不起我错了，你以后洗澡喊我一声，我扶着你
花凝雪 || 点赞60 || 评论2277
怀孕六个月的时候，想和老公恩爱一下，老公不同意，说不安全。我哀怨的看着他说：正餐不让我吃是吧？那我去吃零食！
来呀！来抓我呀~ || 点赞111 || 评论8658
出去玩，去坐摩的，跟师傅讲好价钱后，我准备跨坐上去，边看手机边抬腿，一脚把摩的师傅给踹下去了…
不帅但很能干的人 || 点赞19 || 评论1641
准备出差，路过菜市场看到萝卜不错，贱兮兮的买了一根回家。进屋放到老婆面前:亲爱的，这几天我不在家，你可要乖哦！老婆笑而不语，拉着我进厨房，当着我面洗干净萝卜，一刀一刀的切片，剁碎，然后笑着跟我说:老公，你也要乖乖的，不然……卧槽！怎么感觉裤裆凉嗖嗖的～～
偷惢 || 点赞45 || 评论4655
侄女生病了，要抽血化验。抽血之前嫂子不停的安慰侄女:宝宝不怕，一会就好了。抽血时小家伙儿坚强的不得了，一声没哭，反而嫂子吓的哇哇大哭～于是我那四岁的小侄女一脸无奈的安慰嫂子:妈妈不哭，宝宝一点都不痛～～
秋殇的低语 || 点赞120 || 评论3149
今天我一闺蜜大早上的在哪一扭一扭额，我当时只是想逗逗她，上去把她的小热裤往下一脱，结果她没穿内内，更重要的是她在和她男朋友视频，结果到现在她还没理我，她男朋友还发66.66红包给我，要不要收呢
王云（笨笨） || 点赞16 || 评论934
单位开会，主任说了快一个小时了，我都睡着了，突然被主任点名叫了起来。睡得迷迷糊糊的我，嘟囔了一句：就你有嘴，一天叭叭的！
L+y=Luck || 点赞49 || 评论4088
女儿五岁了，上幼儿园中班。有一天，放学回来一脸愁容的样子。我问她怎么了，她说：“爸爸，我都不知道跟谁结婚了！其实我可喜欢刘家豪了……可是他嗓子哑了，我根本听不清他说的啥……”[哈哈][哈哈][哈哈]
偷惢 || 点赞16 || 评论1556
上班路上被一个大爷给拦住了，以为需要帮助，热心的问他怎么了？大爷支支吾吾的，等了半天才说看我长得不错要给我介绍对象。哭笑不得的婉拒之后，兴奋的打电话给老公“老公老公，刚刚有个男的说要给我介绍对象！”“是个老头吧！”“你咋知道?”“就你现在这个样子，除了老头眼神不好，别的男人也看不上啊！”尼玛！！！
狸土豆大人 || 点赞35 || 评论1274
同事妹子去异地见网友，回来问她八卦，妹子一脸颓废，无奈的说：啥也没发生，街逛了，手牵了，看电影的时候跟他说我困了，让他陪我去睡觉，二货居然告诉我他不困…
宜章diy || 点赞4 || 评论114
夜半偷花！
～烟花易冷～滴 || 点赞26 || 评论2467
你说，一天你穿着雪白的羽绒服正在街上美美的走着，突然旁边一个正舔着冰糖葫芦的人碰你一身糖稀，然后冲你销魂的一笑说：试试汰渍新奥妙吧。你会不会揍他？
春天的故事多多多 || 点赞50 || 评论2299
老婆特别喜欢回娘家。割割割，从年三十到今天，我都不记得回过几次了。第一次带的腊肉香肠回来，第二次装的花生核桃回来，第三次带着儿子挣了500红包回来。今天一大早，老丈人打电话把我训了一顿：你就不能把你老婆关紧点么，整天瞎跑什么，我那点家底都快被她折腾光了。
吃了两碗又盛 || 点赞11 || 评论1181
儿子学乒乓球，训练间隙我也去比划两下。今天教练讲的是反手拨球，我正一起一伏地重复动作的时候，后面有两个女家长笑出了声，其中一个还小声说:这节奏，幅度，太单调了吧？跟我老公似的。。擦擦擦擦擦！你俩以为我在日球台么？
对方正在偸人...… || 点赞66 || 评论3914
晚饭后老婆说，嫁给我这么多年，一直不知道挨揍是什么滋味，让我揍她几下！我：你是我心肝宝贝，我怎么舍得打你！老婆撒娇：打嘛，就打一下嘛，，，刚说完，我家金毛就把拖鞋叼了过来，，， 老婆非说是我教金毛这样做的，，，都过去两天了，老婆还不理我！！
……从此萧郎是路人… || 点赞19 || 评论235
小时候听邻居讲一个老头捡破烂捡到一只烧鸡准备吃掉结果从鸡肚子里掏出了四十万现金（看到这里你想到了什么？）今天我说给老公听，刚说完我自己愣住了，说了句……卧草……老公问我怎么了，我说谁家烧鸡肚子里里能当下四十万现金，我居然被骗了十几年现在才反映过来，老公在旁边笑懵了…………以前说我智商低我还不信，现在我信了！请问哪里可以充智商？？ps：有人送礼不敢明目张胆的送一般都是放在个不起眼的东西里送去，估计真有人把钱放烧鸡里送礼吧！！
以梦为马越骑越傻 || 点赞38 || 评论3106
昨夜做梦，梦到刷牙吐泡沫的时候吐出好多血，然后接着又吐了一口口水，接着准备吐第二口的时候已经迷迷糊糊知道是梦，但是收不住了，只好用力吐了出去，正好吐到了女票脸上。还没等我睁开眼，女票一巴掌就呼到了我脸上，怒吼到，你特么又 射 我脸上了！！！
王云（笨笨） || 点赞24 || 评论1384
男同事最近处了女朋友。我问他：你女朋友对你好吗？男同事说：就一水货！我不解：怎么滴？水货？不是女的啊？男同事解释说：水货，水多，浪啊……
傻晴° || 点赞25 || 评论2082
刚刚试了下新买的口红，涂上之后噘嘴龇牙的跟老公撒娇道:“老公，你看看我今天有什么不一样吗？”老公看了我一眼，刚准备说话，然后面色一变，就见他直接跑到冰箱旁，打开冰箱哀嚎道:偷吃我的榴莲，还吃光了……我惊讶的问:这么厉害，这你都能看得出来！然后老公狠狠地来了句:自己照照镜子看看牙缝在闻闻味儿吧……
白天骑白虎 || 点赞13 || 评论1251
最尴尬的事，昨天下午我在上班时间打游戏，由于太投入，财务经理走到我边上我都没发现，这还不是最尴尬的，最尴尬的是经理找我是给我发去年的奖金（给优秀员工的奖励，一个部门就1个还是悄悄的发），总结起来就是一个优秀员工在给他发奖金时他在打游戏[大哭]
快乐，我高兴 || 点赞19 || 评论495
我感觉最痛苦的事就是，明明自己没钱，别人认为你很有钱，房子买没有，车子什么车！！！！！！！
爱吃火炬的man || 点赞5 || 评论530
我妈喜欢养一些个花花草草，为了能够让他们茁壮成长，不知道从哪里听得，用黄豆泡臭水施肥。因为我妈把盖子拧太紧了，豆子膨胀给炸了，满屋子都是臭水味。第二天，我妈和我说：儿子，咱们这几天换屋子睡吧？我肯定严词拒绝啊。结果我妈给我一百块说：你爸昨天骂我一天了，为了家庭的和谐，你就忍忍，一百块，拿去花。唉，高中生穷啊，为了和对象吃一顿麦当劳，睡了一个月，臭味才没有的。唉……
星劫 || 点赞11 || 评论966
当年在学校，有个萌妹子失恋了，想不开要跳楼，结果下面围着一群男生都劝她下来，允许她在人群中挑个男朋友。　　然后萌妹子在楼顶指挥男生都抬起头，这丫头挑挑捡捡，最后挑中了我，萌妹子下来后，我刚想说开口说不行，萌妹子又哭着跑回楼顶了，说这次看走眼了，挑的这个太丑了，要重新来一次……
这里好多金汁玉叶 || 点赞11 || 评论994
人到中年就容易骨质疏松，一个朋友从办公室后门走得急了一点，地上有点水，腾空摔了一跤，股骨头骨折，要修养半年到一年。这个故事教育我们，小三找上门的时候不要慌。
Hi康忙北鼻 || 点赞49 || 评论785
当下中国最好的生意
耀眼太阳 || 点赞5 || 评论255
公交车上，人非常的多，有一男子上车，随后便听一美女大喊一声，你妈了个脚，踩到我逼了。
欣欣meimei || 点赞15 || 评论1538
一天，爸爸望着正在写作业的儿子，突然说到：“儿子，爸爸真羡慕你”儿子迷茫地抬起头，表示不懂。爸爸感叹到：“你真幸运啊，什么都不用做就能让你妈妈那么爱你，想当年我可是费了好大劲儿才得到你妈的爱啊” ​​​[诶~][诶~][诶~]
江上舟007 || 点赞17 || 评论768
朋友新买奥德赛商务车，很开心的带上狗子全家出游，中午吃饭，饭店不许宠物进入，只好把哈士奇锁在车里一个多小时。吃完饭回到车里。哎呀我去……整车内衬被狗扒的惨不忍睹，座椅啃的面目全非，方向盘咬的分崩离析......
匿名用户 || 点赞33 || 评论964
在一次晚上聚会回家，坐电梯时恰逢一个陌生的，打扮很惊艳的女子，我问来句：美女做什么的？女子：送外卖的！我眼角瞄了一下她，除了随手一个手包其他也没带呀！
嫕为 || 点赞72 || 评论1064
前天，我们这里一个私家诊所，给一个九岁的小孩同吃了头孢和藿香正气水，小孩半夜里就死了……事情还在解决，告诉大家，藿香正气水含酒精不能和头孢类同服！否则要命！
朴大牙的边阿爸 || 点赞0 || 评论94
这天下雨都分分钟蒸发了，，还要不要让我们活了！！
上凹下凸 || 点赞46 || 评论5016
今天陪老总和客户去吃饭，找了个包房，包房里面自带卫生间……刚开始吃，我就去了趟卫生间，再里面噼里啪啦的乱拉一通，顿时觉得神清气爽……出来后老板黑着脸说：我们换个不带卫生间的包房吧！味大不隔音水吃的下啊！
darling-心… || 点赞24 || 评论1155
媳妇在给小儿子喂奶。闺女跑过来说，妈妈你能给我吃口吗？媳妇很惊讶。然后媳妇说可以你吃一口吧。她就吃了一下没吸出来水。媳妇捏了点水出来。她又尝了一下。我问闺女什么味？闺女说是牛奶味[捂脸][捂脸][捂脸]
勇敢的小红军 || 点赞203 || 评论7509
我做软件开发的。一次叫个外卖（不提名字以避免战争），吃饭时，送外卖的小哥帮我调试程序，居然把我2天没修改好的程序改好了。我现在既没脸送外卖也没脸当程序猿。
二女子、 || 点赞25 || 评论3427
去学车，看到有个教练正在苦口婆心的教女学员怎么开才不会压线！那个女学员却是一脸不屑的表情，依旧开她的车！再一次车子冲上花台之后，那个教练终于发火说，媳妇儿，家里啥事你做主，这事必须听我的，不然驾照你可能就拿不到了！
阿榕 || 点赞6 || 评论175
这太阳真够猛的
驯猴师 || 点赞43 || 评论5184
今天去诊所买药，看到护士给一个小孩扎针，小孩吓的躲在妈妈后面，护士微笑着说“宝贝儿，乖，扎针不疼的，咬咬牙就好啦，，”小家伙哇的哭了，抽泣着张开嘴说“我牙掉了还没长出来，怎么咬牙，，”噗，，看着小家伙几颗门牙都没有的样子，，旁边站着的大爷鼻涕泡都笑出来了。。
匿名用户 || 点赞45 || 评论2023
有感而发，不喜勿喷。我家小女12岁，她上小学时我就在小学门口开了一家理疗店。现在初中了，我的店就搬到初中门口。我们约好了，等她上高中，上大学的时候我的店会一直在学校门口。你自管去飞翔，老爹就一直陪着你飘，等到你生根了，老爹就飘回来。别烦身边这个老东西，一旦有事了，你就会发现这个老东西原来是个超人。
七七luwenji… || 点赞23 || 评论2230
突然想起高一的时候。体育课，男生要测试俯卧撑，呵呵，其中一个同学，膀子没有劲。脸都挣红了，嘴里发出嗯嗯使劲的声音，膀子没劲，腰还可以，只见那腰臀上来下去上来下去，嗯嗯声音不绝无耳，体育老师女已婚，看了捂嘴直笑，我看了默默的转身，这场景太撩人，哈哈
驯猴师 || 点赞91 || 评论2810
怀孕八个月的同学拉我逛到婴幼用品店，看到奶粉价格，闺蜜到吸一口凉气“艾玛，咋这么贵呀，”然后拍拍胸说“幸亏够大，不然奶粉都吃不起了，，”然后她回头看看我说“以后可别乱花钱了，攒着钱以后买奶粉吧，可别饿着了孩子。。”我……
曼陀罗月光 || 点赞21 || 评论162
自从有了个吃货女友
徘徊的老鹰 || 点赞9 || 评论1795
业绩差啊[大哭][大哭]
花凝雪 || 点赞15 || 评论773
刚怀孕的时候，婆婆来家里问我爱吃什么，各种好吃的都给我做，什么事都不让我做，就让我一天天等吃。我的亲妈呢，听说我怀孕了，来家里第一天，往沙发上一趟，看着电视机，啃着苹果，就跟我说：闺女，晚上给妈炒个青菜吃，少放盐！
大象赛飞机 || 点赞8 || 评论1025
有道理呀[惊呆了][撞到玻璃]
吃货最怕饿梦. || 点赞48 || 评论1943
闺蜜偷偷问我：你说口疮传染不?我：应该不会！咋了，谁有口疮？闺蜜：我有口疮，可我男朋友刚刚给我微信说他下面长了个疮很疼，非赖我给他传染的！！额，，，
没有节操的小女孩 || 点赞1 || 评论213
我堂妹中午睡觉时总要妈，我就威胁她说：如果你还要妈妈，我就不给你买冰淇淋了！她听我说完后飚出一句：姐姐，我们吃什么味的呀。。。。我就想问问刚刚那个要妈妈的人是谁？
鼬的绯闻女友 || 点赞43 || 评论504
说来也是可怜也是好笑，朋友介绍一个了一个男朋友，网聊了一年奔现，网上把自己说得多厉害多厉害多有钱多有钱的，结果呢，到了以后吃我的花我的，这些我都不在意！最失望的是花完我的就让我去借钱，我当初也是被冲昏了头脑，等我借不到了就各种找事，后来骗我说找了个工作，天天早上睡觉晚上出去，慢慢的我才发现原来是天天晚上去和别的女孩在一起了！你要分手又不直说，现在害得我没钱回去没饭吃，借都借不到了，现在又是一声不吭的走了，你怎么不想想当初我是怎么对你的，都是我自己犯贱
狸土豆大人 || 点赞40 || 评论1078
午休时间，几个同事凑一起叽叽喳喳讨论女性话题，聊到丰胸和内衣选择时我沉默不语。她们问我怎么不发言，我得意的说：这种平胸话题我完全没有话语权，没体会过你们的烦恼所以没有心得。说完几个老娘们儿就对我一阵袭胸，理由是大胸太柔软了不好，得给我揉紧实点……
吃货最怕饿梦. || 点赞102 || 评论5356
闺蜜痛经，这段时间一直在喝中药调理，家里给她介绍相亲，去了她挺中意男孩的，可人家男孩不同意，理由是闺蜜一身的中药味，身患大病！这，，，
姑苏云琪 || 点赞12 || 评论2407
儿子刚上幼儿园的时候，别的小朋友都是又哭又闹的，唯独儿子很开心，不哭也不闹。有一个小女孩，好不容易让老师哄的不怎么哭了，儿子过去说：再哭，把你卖了。然后小女孩哭的更厉害了……
李丶小木 || 点赞24 || 评论311
发发牢骚，见谅下，楼主刚毕业，工作第一个月。一个认识几年的朋友说没钱交房租了找我借几百块钱，说好2天后还，我就留了几十块钱吃饭，昨天第四天，问他什么时候能还，他直接挂电话，今天一天没吃饭，只能刷糗百，借钱借出仇，我也就呵呵了。
一炮定下江山 || 点赞27 || 评论3016
侄媳妇最近生了宝宝，朋友圈发宝宝和侄子合照标题写到：像不像亲生的。底下侄子回复：TMD这不是像不像是必须是啊！
我是煮茶 || 点赞27 || 评论3268
体检。一个小伙对一个女孩表白了。女孩笑而不语。女孩去体检下一项。医生对小伙说：“你没戏。”小伙：“你咋知道？”医生：“你心跳一分钟140下，她80。”
西门爬墙 || 点赞58 || 评论818
不废话 友尽！
雨雾茶吻 || 点赞23 || 评论938
昨天愚人节！白天我穿的旗袍然后自己盘了个发！没事拍了几张照片！晚上无聊把照片发朋友圈！然后配的文字是“终于结完这个婚了！累死了”结果手机到半夜都没安宁过！被家里亲人朋友都训了一顿！唉！说多了都是泪啊！
一坨玉兰花香的屎 || 点赞110 || 评论7371
和前女友分手的时候，闹到老死不相往来那种。有一次晚上散步的时候，碰到她在遛狗，经过她身旁的时候骂了句“真是日了狗了！”这时，就听到她对狗狗说“花花别怕，那家伙短小，不疼的！”
北暮南辞 || 点赞11 || 评论1035
我的爷爷[大笑][大笑]
考个驾照怎么就这么… || 点赞73 || 评论10785
小宝晚上吵夜，一点过了还不睡，和老公轮流抱着她哄睡觉，过了一会儿没听见声音了，我蹑手蹑脚走过去问老公:“小家伙睡着了？”老公伸手给我做了个👌的手势，“我滴个神啊！终于睡着了！”老公说你高兴得太早了，我的意思是她眼睛睁得有这么👌大！！！
秋风吹豌豆 || 点赞168 || 评论4636
都在说女生第一次去男方家里一般吃饭都会收着点，而我女朋友就比较厉害了……第一次正式来我家吃了三个馒头一碗米，两盘菜外加两碗汤……事后我妈评论，这姑娘真好，一点不虚伪……我也没逊色，去她家第一次  吃了5个馒头两盘菜外加把他爸灌倒了……
4444xz点活雷… || 点赞78 || 评论4179
儿子大半夜就是不睡觉，急不可耐啊，就给他看动画片，我俩轻轻的啪，正爽呢儿子突然来了句：你俩好了没
pinkwong || 点赞12 || 评论143
下班后吃个饭然后散完步回家躺着真舒服
拈花微笑人间百态 || 点赞17 || 评论843
小时候村里小店卖一种气球（我们叫“洋蛋”或者“羊蛋”），一毛钱一个，大家都买比谁吹得大，能吹到比暖水瓶还大，或者拿着装水玩，当时就在想，为什么这种气球不叫气球，大家都叫它洋蛋，后来直到长大了第一次接触避孕套，才终于明白小时候一直当气球吹的是个什么鬼。小时候干过这事的举下手，让我知道不止我一个八零后有过此经历。
无奈一世 || 点赞14 || 评论871
小时候特别羡慕人家用两根竹竿架张渔网捞鱼，然后我自己弄两棍子中间绑个蛇皮袋去门口池塘网鱼，结果满满一袋子水提不上来反而把自己带了下去。。还好冬天衣服穿的多，我老妈听见响声跑出来的时候发现我在池塘池塘上漂着。。。。。然后回家拿把锄头把我勾了回来
我只想要你知道我 || 点赞46 || 评论1062
身为一个潜水七年的老人，一直分享着大家的快乐，今天第一次发。因为我刚出去的闺女得了一种罕见代谢病：甲基丙二酸合并同型半胱氨酸血症，需要天天打针、吃药，哪位糗友有好的治疗方法，请联系我，谢谢。
琦只~ || 点赞11 || 评论796
跟闺蜜去滑冰，她腿摔青了，过几天膝盖青两块，跟男朋友解释去滑冰了，今天去电影院看了俄罗斯《花滑女王》，然后说明天再去滑冰，后来想了想，算了算了，膝盖再摔青了跟男朋友说去滑冰了可能就要不信了！！
小择萱子 || 点赞3 || 评论97
腿哦！好看吧
我是煮茶 || 点赞21 || 评论1559
我妹妹高中时：“哥，班草答应跟我约了，给我点钱，我整理一下自己！”我希望她把一头长发整漂亮点，于是给了她几百。   下午，我路过公园篮球场，看到我妹妹理了个板寸，穿着背心短裤，运着球与班草在篮球场上厮杀...
挖鼻孔的老虎 || 点赞88 || 评论4338
好尴尬。下班路上遇到多年不见的老同学，他拉着我上他家喝茶叙旧。走进他家刚关上门，他老婆戴着兔耳朵光着膀子从房间跳了出来。
撩波女汉子 || 点赞8 || 评论902
神医压根儿就不是一般人[大笑][大笑][大笑]（转）
随缘清修 || 点赞42 || 评论2065
昨晚喝多后去酒吧喝二场  喝多后去洗手间   只有一个男女共用的  我一开门才发现一美女蹲在那（不知道为什么没锁门）  本想转身就走  不知道为什么脑一抽  蹲下和她对视了一下  然后在美女的尖叫声中跑了
约定的时候 || 点赞2 || 评论118
老板这是忽悠谁呢，有你这么笑的吗？(图片转自论坛)
白花油 || 点赞70 || 评论2123
当年东莞简称“性都”的时候，很多本地的居民将房子出租为做外来人员居住，此类房东称为包租公、包租婆。一朋友就是这种包租公，平时都是他老婆收租金，一日他老婆没有空去收租金，他收租金发现一住户长得巨漂亮，为一酒店的桑拿公主，由于平时钱财为老婆掌管，没有多少私房钱去酒店享受  ，逐撩她，小姐看他为房东不好拒绝，答应在房间里服务并象征性收取少许费用。包租婆发现他长时间没有回来，逐发现两人交易。狂怒，边打他边骂：“我让你嫖、我让出钱你嫖”。…
宿舍的床 || 点赞8 || 评论1302
邻居们坐在一起聊天，逗我女儿，说她是垃圾堆里捡来的，女儿:骗人，我才不是，我是医生在我妈妈肚子上拉一 刀，把我抱回来的。[大笑]看来剖腹产也不尽然全是坏……
胖香 || 点赞15 || 评论952
我哥的死党刚子来家里玩，小侄子拿着玩具金箍棒指着人家念叨:“呔！秃驴！我叫你一声你敢答应么？！”我哥连忙呵斥，刚哥拿下帽子哈哈一笑说:“小屁孩眼神够毒啊，今天刚剃了光头，带了帽子还被发现了，，”现在换小侄子不淡定了，拎着金箍棒呆愣当场，喃喃自语:“这么灵？以后我都不敢乱喊咒语了，，”
帝国守卫 || 点赞11 || 评论819
公司同事被女朋友甩了，他女朋友跟一有钱帅哥跑了，公司老板司机看不惯，帮他出气。两人开着老板的大奔就去装逼了，没想到，刚到地方，司机小伙连车都没停就跑了，这哥们问老板司机，咋的？不是给我出气吗？你跑的这快。司机苦笑道，哥，这忙帮不了了，那男的是咱老板的公子啊，你在公司这多年，连太子爷都不认识？哥，我看你还是早点死心吧！
安妹坨的麻麻 || 点赞24 || 评论2059
处女贴～背景～小女儿15个月～～天热了孩她爹在家经常光个膀子，小丫头看她爹的咪咪头很好奇，老是去揪着玩好几次都揪得她爹哇哇叫。昨晚又在那揪，她爹无奈的说“都说女儿是爸爸上辈子的情人，你这是上辈子没揪够吗？”～～没揪够……没揪够……
傻晴° || 点赞42 || 评论3253
早上坐公交，正吃着我的面包和酸奶呢，司机一个急刹车，身体惯性往前倾，想着完蛋了要摔破相了，结果后面一小哥哥猛的拉住了我，就在我以为我成功逃过一劫的时候，我却和小哥哥一起滚到了地上……四目相对之下，小哥哥轻声说道:对不起啊妹子，你实在有点胖了，我拉不住……
曾经沧南难为水～ || 点赞29 || 评论2416
早上睡过了头，上班迟到。到厂门口碰到一同事妹纸也迟到，心想：还好有个做伴儿的。  给她打了个招呼：早！同事妹纸长吐一口气对我说：你也迟到了，正好有个伴儿……       我。。
吃货最怕饿梦. || 点赞33 || 评论2102
买早餐煎饼果子，是一对小夫妻卖的，男的一边给我做煎饼果子一边骂他媳妇：天天就知道玩手机，啥也不会做，花钱比谁都厉害，，，叽里呱啦说个没完！他媳妇在旁边默默的切土豆丝，突然嗷的一嗓子！一盆土豆丝泼了过来，俩人顿时打成一片！！得，煎饼果子没吃上不说，还浑然不知顶了一头土豆丝上班去了！！
我是你男姐 || 点赞31 || 评论3046
这几天，在医院照顾刚生二娃的姐姐娘俩，忽然也想要个二胎；昨晚问儿子，我给你生个小妹妹好不好？儿子头也没抬的说：去，快去，你们现在就去生吧，爸爸在隔壁房间...
手撕猪肉堡， || 点赞12 || 评论110
自杀小队国内不让上映这算糗吗？期待了好久。。。
星劫 || 点赞79 || 评论7494
正在哥们家喝酒，突然哥们喊声不好，他老婆来了，我问你怎么知道，哥们回答:“我听到楼下下水道井盖声音了，整栋楼除了我老婆，没人能踩响……”
Bullring || 点赞3 || 评论1553
点赞者跟图片里一样，轻松赚大钱
我是煮茶 || 点赞12 || 评论1252
那年学校体检，年老的医生闭着眼拿着听诊器在我身上滑动，然后对实习医生说：“像他这种心脏长在右边的人，我只在武侠小说中见过，现实中还是第一次见！我要跟院领导汇报！”  实习医生说：“老师，这娃是趴在床上的！”
丑小正 || 点赞22 || 评论775
公司组织春游，可以带家属。。割。。次日早上大家吃完早饭，回房间收拾东西退房，突然屎意来袭，就在厕所尿了20分钟的屎，真是淋漓尽致，肝肠尽断！然后和女朋友一起去前台退房，发现大家都在等我们，就这样在所有人的注视下，女朋友掺着双腿发软的我从房间里走出来。。。真不是你们想的那样。。。。[哀怨][哀怨]我是拉屎拉的！[哀怨][哀怨]
我想要个糗名 || 点赞1 || 评论117
我终于是有身份证的人了……
兰花沟一霸 || 点赞11 || 评论1705
我三岁的宝贝女儿自己乖乖的玩玩具时，我忍不住掏出手机悄悄的打起了吃鸡，不料被她发现了，兴致勃勃地扑来我身边盯着看，我有些愧疚推开她说“宝宝，别看手机了，对眼睛不好。”于是，女儿伸出她的两只小手，蒙住了我的双眼……
浅浅一笑恰逢你来 || 点赞29 || 评论2758
和闺蜜还有她男朋友一起逛超市……“他对你真好，刚才我看他买木瓜牛奶说晚上做给你吃……”我羡慕的对闺蜜说。“好个屁，爽的还不是他！！！！！！！！！……”
西楚-留香 || 点赞29 || 评论994
81192,你已完成任务，请返航!
西湖醋鱼夹生 || 点赞32 || 评论1067
坏脾气分等级。一句话不对心思就瞪眼睛的，是一级；点火就着河东狮吼的是二级；拍案而起就动手的是三级。你老婆是几级？你能耐受的是几级？
(星雨) || 点赞5 || 评论156
待君长发及腰
哈※哈※笑 || 点赞26 || 评论2086
两家相邻的药店为了招揽顾客，免费赠送各种青菜，两家药店玩的不亦乐乎，结果把旁边的菜店挤兑的没有了生意。这件事证明了三件事：远亲不如近邻纯属扯淡，同行是冤家是真理，城门失火殃及池鱼，古人诚不欺我！
落丶墨 || 点赞32 || 评论4009
我邻居家孩子，去准丈母娘送礼，准丈母娘拉着他手说，留下来吃饭吧。这熊孩子想去网吧打游戏，不想留下，由于丈母娘再三劝留，他只好吸一口气，说“算了，吃一顿就吃一顿吧，反正毒不死我”。然后就没有然后了。
爱新觉罗~陈伯 || 点赞14 || 评论791
在大学图书馆见到的，能不能过
偷惢 || 点赞61 || 评论2811
公公第一次来我家吃饭，我忙活半天摆上一大桌菜。他很拘谨，大闸蟹摆在他面前都不动。于是我掰开一个放到他面前，非要让他尝尝，他想了一下拿起来给吃了。没一会，他脸上起了好多小红点，一问才知道，公公海鲜过敏……
大大咧咧小女人 || 点赞3 || 评论245
街采记者：有男朋友吗？女：有啊。记者：啪过吗？女：有啊。记者：爽吗？女：一二百斤的重物压身上喘不过气来你爽一个我看看。记者一脸大写的mb
青楼。满座 || 点赞29 || 评论511
有一个问题想问一下大家，我有一瓶酒放六年多了，这几天高中同学来我家做客，我就把那瓶珍藏的酒拿了出来。打开后我发现酒已经有些发暗黄的颜色了，同学们都很兴奋，说要赶紧喝一点。我给每个人都倒了一小杯，我自己也小喝了一口。虽然酒的颜色很漂亮，但特别不好喝，有些酸，有些涩，最要命的是喝过酒之后同学们都说肚子特别痛！当我们到医院的时候已经是疼得昏倒了几个人！我们大概一个星期左右才出院！这件事太可怕了，很多人都说酒越陈越香，而我却再也不会相信那些谎言！最后想问一下无所不知的朋友们，是不是只有雪花啤酒这样？
福永小松发 || 点赞43 || 评论969
我们的文员，偏胖，也可说丰满，长的不是很漂亮，但是看到她穿露脐装就想给她打一针！
鲲鹏九天 || 点赞3 || 评论981
妈妈唱摇篮曲哄孩子睡觉。两个小时后，见孩子还在翻 腾，妈妈只得继续唱下去。这时只听见孩子说:“ 妈妈，不要再唱了，我早就想睡觉了!”
李。大。爷 || 点赞30 || 评论754
夏天快要到了，想看女朋友素颜的，赶紧带她去爬山吧！不说了，手牵手的女朋友变成大妈了
说干咱就干啊 || 点赞4 || 评论128
什么也不说了，老板是不是暗示什么
春天的故事多多多 || 点赞12 || 评论2029
晚上10点，堵在路上，割割割，只见我前面的一辆红色BMW下来一个华丽丽的小妞，手提一个大号袋子装的都是零食，开始向各个车主卖吃的，我也饿了，买了一袋薯条，问原因，答曰：在车里没事，一个人也吃不了，换点拥堵费！
傻晴° || 点赞70 || 评论4559
最近女同事被几个男生追，我酸酸的说:果然人长得漂亮，就是好！追你的男生都排成排了！女同事羞涩的看了我一眼说道:别瞎说，那是因为他们都没发现你有趣的灵魂～[哀怨][哀怨]
匿名用户 || 点赞30 || 评论5045
妈妈：我把你住的那个房间租给了人了我：那我下次回来睡哪？妈妈：有本事跟人家睡去，刚毕业的妹子，我觉得好乖好乖的我：。。。。（这绝对是亲妈）
驯猴师 || 点赞32 || 评论2423
去做护理，闲聊中知道同一款护 理 项目我比别人多花了好几百块钱，生气的问美容师“为啥跟我多要钱，，”美容师不慌不忙微笑着说“由于成本问题，我们这次优惠活动收费是按脸的大小收费的。。”擦……
52赫兹的鲸 || 点赞12 || 评论143
我想知道她过得好不好，能过吗？
污～妖～王 || 点赞135 || 评论4420
字不重要，看图！！
很纯洁的：流氓 || 点赞8 || 评论785
